2025-10-06 13:32:12,047 - Image: frame_0006.jpg, Person: 1, PixelHeight: 342.7px, Estimated: 10.56m, Real: 5.00m, 
2025-10-06 13:32:12,177 - Image: frame_0002.jpg, Person: 1, PixelHeight: 337.7px, Estimated: 10.72m, Real: 5.00m, 
2025-10-06 13:32:12,302 - Image: frame_0007.jpg, Person: 1, PixelHeight: 253.9px, Estimated: 14.26m, Real: 10.00m, 
2025-10-06 13:32:12,426 - Image: frame_0001.jpg, Person: 1, PixelHeight: 216.6px, Estimated: 16.72m, Real: 10.00m, 
2025-10-06 13:32:12,549 - Image: frame_0005.jpg, Person: 1, PixelHeight: 252.9px, Estimated: 14.32m, Real: 10.00m, 
2025-10-06 13:32:12,673 - Image: frame_0008.jpg, Person: 1, PixelHeight: 258.1px, Estimated: 14.03m, Real: 10.00m, 
2025-10-06 13:32:12,798 - Image: frame_0000.jpg, Person: 1, PixelHeight: 227.9px, Estimated: 15.88m, Real: 10.00m, 
2025-10-06 13:32:12,922 - Image: frame_0003.jpg, Person: 1, PixelHeight: 257.2px, Estimated: 14.08m, Real: 10.00m, 
2025-10-06 13:32:13,053 - Image: frame_0009.jpg, Person: 1, PixelHeight: 253.9px, Estimated: 14.26m, Real: 10.00m, 
2025-10-06 13:32:13,182 - Image: frame_0004.jpg, Person: 1, PixelHeight: 253.7px, Estimated: 14.27m, Real: 10.00m, 
2025-10-06 13:32:13,311 - Image: frame_0006.jpg, Person: 1, PixelHeight: 251.7px, Estimated: 14.39m, Real: 10.00m, 
2025-10-06 13:32:13,445 - Image: frame_0002.jpg, Person: 1, PixelHeight: 258.0px, Estimated: 14.03m, Real: 10.00m, 
2025-10-06 13:32:13,574 - Image: frame_0007.jpg, Person: 1, PixelHeight: 330.6px, Estimated: 10.95m, Real: 5.00m, 
2025-10-06 13:32:13,700 - Image: frame_0001.jpg, Person: 1, PixelHeight: 343.4px, Estimated: 10.54m, Real: 5.00m, 
2025-10-06 13:32:13,833 - Image: frame_0005.jpg, Person: 1, PixelHeight: 329.9px, Estimated: 10.97m, Real: 5.00m, 
2025-10-06 13:32:13,959 - Image: frame_0008.jpg, Person: 1, PixelHeight: 332.1px, Estimated: 10.90m, Real: 5.00m, 
2025-10-06 13:32:14,088 - Image: frame_0000.jpg, Person: 1, PixelHeight: 339.5px, Estimated: 10.66m, Real: 5.00m, 
2025-10-06 13:32:14,215 - Image: frame_0003.jpg, Person: 1, PixelHeight: 300.8px, Estimated: 12.04m, Real: 5.00m, 
2025-10-06 13:32:14,340 - Image: frame_0009.jpg, Person: 1, PixelHeight: 299.0px, Estimated: 12.11m, Real: 5.00m, 
2025-10-06 13:32:14,464 - Image: frame_0004.jpg, Person: 1, PixelHeight: 332.8px, Estimated: 10.88m, Real: 5.00m, 
2025-10-06 13:32:14,588 - Image: frame_0006.jpg, Person: 1, PixelHeight: 329.1px, Estimated: 11.00m, Real: 5.00m, 
2025-10-06 13:32:14,717 - Image: frame_0002.jpg, Person: 1, PixelHeight: 294.2px, Estimated: 12.31m, Real: 5.00m, 
2025-10-06 13:32:14,845 - Image: frame_0007.jpg, Person: 1, PixelHeight: 232.8px, Estimated: 15.56m, Real: 10.00m, 
2025-10-06 13:32:14,972 - Image: frame_0001.jpg, Person: 1, PixelHeight: 213.5px, Estimated: 16.96m, Real: 10.00m, 
2025-10-06 13:32:15,097 - Image: frame_0005.jpg, Person: 1, PixelHeight: 235.1px, Estimated: 15.40m, Real: 10.00m, 
2025-10-06 13:32:15,219 - Image: frame_0008.jpg, Person: 1, PixelHeight: 235.6px, Estimated: 15.37m, Real: 10.00m, 
2025-10-06 13:32:15,342 - Image: frame_0000.jpg, Person: 1, PixelHeight: 240.3px, Estimated: 15.07m, Real: 10.00m, 
2025-10-06 13:32:15,465 - Image: frame_0003.jpg, Person: 1, PixelHeight: 231.6px, Estimated: 15.63m, Real: 10.00m, 
2025-10-06 13:32:15,593 - Image: frame_0009.jpg, Person: 1, PixelHeight: 236.1px, Estimated: 15.34m, Real: 10.00m, 
2025-10-06 13:32:15,728 - Image: frame_0004.jpg, Person: 1, PixelHeight: 235.6px, Estimated: 15.37m, Real: 10.00m, 
2025-10-06 13:32:15,866 - Image: frame_0006.jpg, Person: 1, PixelHeight: 232.0px, Estimated: 15.61m, Real: 10.00m, 
2025-10-06 13:32:15,991 - Image: frame_0002.jpg, Person: 1, PixelHeight: 225.1px, Estimated: 16.08m, Real: 10.00m, 
2025-10-06 13:32:16,116 - Image: frame_0007.jpg, Person: 1, PixelHeight: 467.9px, Estimated: 7.74m, Real: 5.00m, 
2025-10-06 13:32:16,240 - Image: frame_0001.jpg, Person: 1, PixelHeight: 392.3px, Estimated: 9.23m, Real: 5.00m, 
2025-10-06 13:32:16,363 - Image: frame_0005.jpg, Person: 1, PixelHeight: 464.4px, Estimated: 7.80m, Real: 5.00m, 
2025-10-06 13:32:16,486 - Image: frame_0008.jpg, Person: 1, PixelHeight: 463.1px, Estimated: 7.82m, Real: 5.00m, 
2025-10-06 13:32:16,611 - Image: frame_0000.jpg, Person: 1, PixelHeight: 455.3px, Estimated: 7.95m, Real: 5.00m, 
2025-10-06 13:32:16,736 - Image: frame_0003.jpg, Person: 1, PixelHeight: 467.0px, Estimated: 7.75m, Real: 5.00m, 
2025-10-06 13:32:16,871 - Image: frame_0009.jpg, Person: 1, PixelHeight: 464.8px, Estimated: 7.79m, Real: 5.00m, 
2025-10-06 13:32:17,000 - Image: frame_0004.jpg, Person: 1, PixelHeight: 464.3px, Estimated: 7.80m, Real: 5.00m, 
2025-10-06 13:32:17,128 - Image: frame_0006.jpg, Person: 1, PixelHeight: 468.0px, Estimated: 7.74m, Real: 5.00m, 
2025-10-06 13:32:17,254 - Image: frame_0002.jpg, Person: 1, PixelHeight: 407.9px, Estimated: 8.88m, Real: 5.00m, 
2025-10-06 13:32:17,396 - Image: frame_0007.jpg, Person: 1, PixelHeight: 528.7px, Estimated: 6.85m, Real: 5.00m, 
2025-10-06 13:32:17,526 - Image: frame_0001.jpg, Person: 1, PixelHeight: 525.9px, Estimated: 6.89m, Real: 5.00m, 
2025-10-06 13:32:17,689 - Image: frame_0005.jpg, Person: 1, PixelHeight: 533.7px, Estimated: 6.78m, Real: 5.00m, 
2025-10-06 13:32:17,823 - Image: frame_0008.jpg, Person: 1, PixelHeight: 526.3px, Estimated: 6.88m, Real: 5.00m, 
2025-10-06 13:32:17,949 - Image: frame_0000.jpg, Person: 1, PixelHeight: 507.8px, Estimated: 7.13m, Real: 5.00m, 
2025-10-06 13:32:18,082 - Image: frame_0003.jpg, Person: 1, PixelHeight: 537.1px, Estimated: 6.74m, Real: 5.00m, 
2025-10-06 13:32:18,216 - Image: frame_0009.jpg, Person: 1, PixelHeight: 532.7px, Estimated: 6.80m, Real: 5.00m, 
2025-10-06 13:32:18,349 - Image: frame_0004.jpg, Person: 1, PixelHeight: 533.1px, Estimated: 6.79m, Real: 5.00m, 
2025-10-06 13:32:18,484 - Image: frame_0006.jpg, Person: 1, PixelHeight: 542.2px, Estimated: 6.68m, Real: 5.00m, 
2025-10-06 13:32:18,608 - Image: frame_0002.jpg, Person: 1, PixelHeight: 529.8px, Estimated: 6.83m, Real: 5.00m, 
2025-10-06 13:32:18,733 - Image: frame_0007.jpg, Person: 1, PixelHeight: 263.4px, Estimated: 13.75m, Real: 10.00m, 
2025-10-06 13:32:18,851 - Image: frame_0001.jpg, Person: 1, PixelHeight: 254.4px, Estimated: 14.23m, Real: 10.00m, 
2025-10-06 13:32:18,974 - Image: frame_0005.jpg, Person: 1, PixelHeight: 262.8px, Estimated: 13.78m, Real: 10.00m, 
2025-10-06 13:32:19,097 - Image: frame_0008.jpg, Person: 1, PixelHeight: 264.1px, Estimated: 13.71m, Real: 10.00m, 
2025-10-06 13:32:19,218 - Image: frame_0000.jpg, Person: 1, PixelHeight: 260.5px, Estimated: 13.90m, Real: 10.00m, 
2025-10-06 13:32:19,344 - Image: frame_0003.jpg, Person: 1, PixelHeight: 228.7px, Estimated: 15.83m, Real: 10.00m, 
2025-10-06 13:32:19,466 - Image: frame_0009.jpg, Person: 1, PixelHeight: 261.4px, Estimated: 13.85m, Real: 10.00m, 
2025-10-06 13:32:19,590 - Image: frame_0004.jpg, Person: 1, PixelHeight: 261.6px, Estimated: 13.84m, Real: 10.00m, 
2025-10-06 13:32:19,713 - Image: frame_0006.jpg, Person: 1, PixelHeight: 266.2px, Estimated: 13.60m, Real: 10.00m, 
2025-10-06 13:32:19,836 - Image: frame_0002.jpg, Person: 1, PixelHeight: 258.2px, Estimated: 14.02m, Real: 10.00m, 
2025-10-06 13:32:19,958 - Image: frame_0007.jpg, Person: 1, PixelHeight: 544.9px, Estimated: 6.64m, Real: 5.00m, 
2025-10-06 13:32:20,083 - Image: frame_0001.jpg, Person: 1, PixelHeight: 518.5px, Estimated: 6.98m, Real: 5.00m, 
2025-10-06 13:32:20,212 - Image: frame_0005.jpg, Person: 1, PixelHeight: 546.1px, Estimated: 6.63m, Real: 5.00m, 
2025-10-06 13:32:20,336 - Image: frame_0008.jpg, Person: 1, PixelHeight: 546.9px, Estimated: 6.62m, Real: 5.00m, 
2025-10-06 13:32:20,458 - Image: frame_0000.jpg, Person: 1, PixelHeight: 517.9px, Estimated: 6.99m, Real: 5.00m, 
2025-10-06 13:32:20,583 - Image: frame_0003.jpg, Person: 1, PixelHeight: 518.1px, Estimated: 6.99m, Real: 5.00m, 
2025-10-06 13:32:20,709 - Image: frame_0009.jpg, Person: 1, PixelHeight: 543.7px, Estimated: 6.66m, Real: 5.00m, 
2025-10-06 13:32:20,833 - Image: frame_0004.jpg, Person: 1, PixelHeight: 532.8px, Estimated: 6.80m, Real: 5.00m, 
2025-10-06 13:32:20,956 - Image: frame_0006.jpg, Person: 1, PixelHeight: 541.1px, Estimated: 6.69m, Real: 5.00m, 
2025-10-06 13:32:21,080 - Image: frame_0002.jpg, Person: 1, PixelHeight: 507.8px, Estimated: 7.13m, Real: 5.00m, 
2025-10-06 13:32:21,203 - Image: frame_0007.jpg, Person: 1, PixelHeight: 236.0px, Estimated: 15.34m, Real: 10.00m, 
2025-10-06 13:32:21,327 - Image: frame_0001.jpg, Person: 1, PixelHeight: 232.5px, Estimated: 15.58m, Real: 10.00m, 
2025-10-06 13:32:21,449 - Image: frame_0005.jpg, Person: 1, PixelHeight: 227.4px, Estimated: 15.93m, Real: 10.00m, 
2025-10-06 13:32:21,574 - Image: frame_0008.jpg, Person: 1, PixelHeight: 230.2px, Estimated: 15.73m, Real: 10.00m, 
2025-10-06 13:32:21,696 - Image: frame_0000.jpg, Person: 1, PixelHeight: 230.1px, Estimated: 15.73m, Real: 10.00m, 
2025-10-06 13:32:21,821 - Image: frame_0003.jpg, Person: 1, PixelHeight: 229.4px, Estimated: 15.79m, Real: 10.00m, 
2025-10-06 13:32:21,948 - Image: frame_0009.jpg, Person: 1, PixelHeight: 224.0px, Estimated: 16.17m, Real: 10.00m, 
